Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C,24,TOR,21,387,16.2,.533,.278,.238,12.7,22.8,17.6,15.7,1.6,2.0,13.9,21.3,,0.2,0.5,0.7,.086,,-0.6,0.4,-0.2,0.2,achiupr01
2,Bam Adebayo,C,26,MIA,18,603,21.3,.578,.010,.414,6.8,26.6,16.5,19.6,1.7,2.7,11.4,28.3,,0.8,0.9,1.7,.135,,1.1,1.1,2.1,0.6,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,590,9.9,.566,.575,.050,4.8,8.8,6.8,7.3,1.6,2.3,10.9,12.9,,0.3,0.3,0.6,.047,,-1.7,-0.6,-2.2,0.0,agbajoc01
4,Santi Aldama,PF,23,MEM,20,501,14.6,.533,.481,.168,6.7,19.6,12.9,12.5,1.4,2.9,9.0,20.9,,0.1,0.7,0.8,.078,,0.3,0.2,0.5,0.3,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,609,9.4,.543,.646,.106,2.4,6.8,4.8,14.3,1.7,2.5,14.3,14.0,,0.1,1.0,1.1,.090,,-1.9,2.0,0.1,0.3,alexani01
6,Grayson Allen,SG,28,PHO,22,731,12.4,.655,.578,.249,3.1,12.1,7.8,11.3,1.3,1.3,13.1,13.9,,1.1,0.6,1.6,.107,,-0.4,-0.7,-1.0,0.2,allengr01
7,Jarrett Allen,C,25,CLE,23,669,18.6,.684,.000,.385,11.1,20.4,15.8,11.6,1.3,2.9,16.4,16.9,,1.4,1.0,2.4,.169,,0.0,1.0,1.1,0.5,allenja01
8,Jose Alvarado,PG,25,NOP,14,236,13.5,.539,.554,.241,3.2,13.4,8.3,16.7,3.3,2.1,13.2,19.0,,0.0,0.4,0.4,.084,,-1.3,1.6,0.4,0.1,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,598,11.7,.506,.128,.362,3.6,12.6,8.4,23.4,1.7,3.0,18.4,15.4,,0.1,1.1,1.2,.098,,-2.1,2.8,0.7,0.4,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,903,29.3,.649,.093,.597,9.0,25.2,17.5,25.9,2.0,2.7,13.9,33.3,,3.0,1.3,4.3,.228,,5.5,1.6,7.2,2.1,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,55,3.3,.444,.000,.000,6.3,5.7,6.0,10.6,1.7,1.5,35.7,10.7,,-0.1,0.0,0.0,-0.039,,-6.6,-1.2,-7.8,-0.1,antetth01
12,Cole Anthony,PG,23,ORL,26,653,17.0,.588,.339,.392,4.7,14.4,9.5,21.9,1.3,1.8,12.9,24.7,,1.0,0.9,1.9,.142,,1.1,0.5,1.6,0.6,anthoco01
13,OG Anunoby,SF,26,TOR,23,763,11.9,.580,.527,.142,2.9,10.4,6.6,10.7,1.5,1.5,11.8,18.4,,0.3,0.7,1.0,.062,,-1.2,-0.2,-1.4,0.1,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,20,4.5,.000,1.000,.000,0.0,27.9,13.8,17.4,2.5,0.0,0.0,6.3,,0.0,0.0,0.0,-0.008,,-7.4,2.1,-5.3,0.0,arcidry01
15,Deni Avdija,SF,23,WAS,26,699,14.2,.584,.300,.232,4.3,18.0,11.1,19.4,1.3,0.9,13.2,17.8,,0.7,0.2,0.9,.065,,-0.7,-0.7,-1.4,0.1,avdijde01
16,Deandre Ayton,C,25,POR,22,696,15.7,.577,.000,.127,10.8,28.4,19.1,7.8,1.8,1.9,15.5,17.3,,0.4,1.0,1.4,.094,,-1.9,0.2,-1.7,0.0,aytonde01
17,Udoka Azubuike,C,24,PHO,2,9,11.8,1.000,.000,.000,0.0,48.0,25.2,0.0,0.0,0.0,0.0,4.8,,0.0,0.0,0.0,.157,,-2.1,-0.7,-2.8,0.0,azubuud01
18,Marvin Bagley III,C,24,DET,22,411,17.5,.624,.032,.338,10.8,17.4,14.0,9.2,0.3,2.8,13.4,21.3,,0.6,0.2,0.8,.089,,-0.2,-1.6,-1.8,0.0,baglema01
19,Amari Bailey,PG,19,CHO,2,11,3.8,.363,.333,.333,19.5,0.0,10.1,0.0,0.0,0.0,12.7,30.8,,0.0,0.0,-0.1,-0.247,,-5.3,-8.3,-13.6,0.0,baileam01
20,Patrick Baldwin Jr.,SF,21,WAS,7,39,13.1,.576,.385,.308,5.5,22.4,13.9,9.8,0.0,2.1,6.3,17.0,,0.1,0.0,0.1,.080,,-0.3,-1.4,-1.6,0.0,baldwpa01
21,LaMelo Ball,PG,22,CHO,15,501,20.6,.568,.450,.211,4.9,13.7,9.1,40.3,2.0,0.7,15.3,33.0,,0.5,0.1,0.7,.066,,4.3,-1.0,3.3,0.7,ballla01
