Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,24,TOR,21,0,18.4,3.4,7.2,.477,0.6,2.0,.310,2.8,5.2,.541,.520,1.0,1.7,.583,2.2,3.8,6.0,2.0,0.6,0.4,1.3,1.8,8.5,achiupr01
2,Bam Adebayo,C,26,MIA,18,18,33.5,8.3,16.1,.514,0.1,0.2,.333,8.2,15.9,.516,.516,5.4,6.7,.808,2.0,7.6,9.6,3.9,1.2,0.9,2.4,2.6,22.0,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,10,21.1,2.6,5.7,.450,1.3,3.3,.380,1.3,2.4,.544,.559,0.2,0.3,.750,0.9,1.7,2.6,1.1,0.7,0.5,0.7,1.5,6.6,agbajoc01
4,Santi Aldama,PF,23,MEM,20,5,25.1,4.6,10.4,.438,1.7,5.0,.340,2.9,5.4,.528,.519,1.1,1.8,.629,1.6,4.3,5.9,2.0,0.7,0.8,1.1,1.8,11.9,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,11,23.4,2.6,6.2,.416,1.5,4.0,.365,1.1,2.2,.509,.534,0.4,0.7,.647,0.5,1.5,2.0,2.5,0.8,0.7,1.1,1.9,7.0,alexani01
6,Grayson Allen,SG,28,PHO,22,22,33.2,4.1,8.4,.486,2.2,4.9,.449,1.9,3.5,.538,.616,1.9,2.1,.891,0.9,3.7,4.6,2.7,0.9,0.5,1.4,2.4,12.2,allengr01
7,Jarrett Allen,C,25,CLE,23,23,29.1,5.4,8.1,.668,0.0,0.0,,5.4,8.1,.668,.668,2.1,3.1,.681,2.9,5.4,8.3,2.3,0.8,1.0,1.9,2.8,13.0,allenja01
8,Jose Alvarado,PG,25,NOP,14,0,16.9,2.4,5.9,.410,1.4,3.3,.413,1.1,2.6,.405,.524,0.9,1.4,.600,0.5,2.1,2.6,2.1,1.1,0.4,1.0,1.4,7.1,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,0,23.0,2.6,5.7,.456,0.1,0.7,.105,2.5,5.0,.508,.463,1.4,2.1,.685,0.7,2.8,3.5,4.0,0.8,0.8,1.5,1.5,6.7,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,26,34.7,11.4,18.7,.611,0.4,1.7,.222,11.0,17.0,.651,.621,7.4,11.2,.662,2.7,8.4,11.1,5.4,1.5,1.2,3.8,2.8,30.6,antetgi01
