Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,C,24,TOR,21,0,387,9.1,19.0,.477,1.6,5.3,.310,7.4,13.7,.541,2.6,4.5,.583,5.8,10.0,15.8,5.3,1.6,1.1,3.4,4.7,22.4,,110,113,achiupr01
2,Bam Adebayo,C,26,MIA,18,18,603,12.2,23.8,.514,0.1,0.2,.333,12.1,23.5,.516,7.9,9.8,.808,2.9,11.1,14.1,5.7,1.7,1.4,3.6,3.8,32.4,,115,111,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,10,590,5.9,13.1,.450,2.9,7.6,.380,3.0,5.6,.544,0.5,0.7,.750,2.1,3.9,6.0,2.5,1.6,1.2,1.6,3.4,15.2,,114,121,agbajoc01
4,Santi Aldama,PF,23,MEM,20,5,501,8.8,20.1,.438,3.3,9.7,.340,5.5,10.4,.528,2.1,3.4,.629,3.1,8.3,11.4,3.8,1.4,1.4,2.1,3.5,23.0,,108,112,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,11,609,5.4,12.9,.416,3.0,8.3,.365,2.3,4.6,.509,0.9,1.4,.647,1.0,3.2,4.2,5.2,1.7,1.4,2.2,3.9,14.6,,109,110,alexani01
6,Grayson Allen,SG,28,PHO,22,22,731,6.1,12.5,.486,3.2,7.2,.449,2.8,5.3,.538,2.8,3.1,.891,1.3,5.5,6.8,4.0,1.3,0.7,2.1,3.6,18.1,,125,118,allengr01
7,Jarrett Allen,C,25,CLE,23,23,669,9.1,13.7,.668,0.0,0.0,,9.1,13.7,.668,3.6,5.3,.681,4.8,9.1,14.0,3.9,1.3,1.6,3.1,4.8,21.9,,127,112,allenja01
8,Jose Alvarado,PG,25,NOP,14,0,236,6.9,16.9,.410,3.9,9.4,.413,3.1,7.5,.405,2.4,4.1,.600,1.4,5.9,7.3,5.9,3.3,1.0,2.8,4.1,20.1,,108,111,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,0,598,5.5,12.1,.456,0.2,1.5,.105,5.4,10.6,.508,3.0,4.4,.685,1.5,5.9,7.3,8.5,1.7,1.7,3.2,3.2,14.2,,108,108,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,26,903,15.5,25.3,.611,0.5,2.3,.222,15.0,23.0,.651,10.0,15.1,.662,3.6,11.4,15.0,7.3,2.0,1.6,5.2,3.8,41.5,,124,112,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,0,55,3.4,7.7,.444,0.0,0.0,,3.4,7.7,.444,0.0,0.0,,2.6,2.6,5.1,4.3,1.7,0.9,4.3,6.0,6.8,,84,118,antetth01
12,Cole Anthony,PG,23,ORL,26,0,653,9.6,20.9,.459,2.7,7.1,.375,6.9,13.8,.503,6.9,8.2,.847,2.0,6.0,8.0,6.9,1.3,1.0,3.6,5.7,28.7,,117,112,anthoco01
13,OG Anunoby,SF,26,TOR,23,23,763,8.2,17.6,.469,3.5,9.3,.372,4.8,8.3,.577,1.7,2.5,.692,1.3,4.5,5.9,3.7,1.5,0.8,2.5,3.5,21.7,,110,117,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,0,20,0.0,7.4,.000,0.0,7.4,.000,0.0,0.0,,0.0,0.0,,0.0,12.4,12.4,7.4,2.5,0.0,0.0,0.0,0.0,,62,111,arcidry01
15,Deni Avdija,SF,23,WAS,26,26,699,7.7,15.4,.498,1.6,4.6,.343,6.1,10.8,.564,2.9,3.6,.815,1.8,7.6,9.4,6.7,1.3,0.5,2.6,3.9,19.8,,116,122,avdijde01
16,Deandre Ayton,C,25,POR,22,22,696,8.9,16.1,.557,0.0,0.0,,8.9,16.1,.557,1.7,2.0,.828,5.0,11.6,16.6,2.4,1.8,1.1,3.1,3.8,19.6,,111,112,aytonde01
17,Udoka Azubuike,C,24,PHO,2,0,9,5.5,5.5,1.000,0.0,0.0,,5.5,5.5,1.000,0.0,0.0,,0.0,21.9,21.9,0.0,0.0,0.0,0.0,5.5,10.9,,200,110,azubuud01
18,Marvin Bagley III,C,24,DET,22,9,411,10.4,18.2,.573,0.1,0.6,.200,10.3,17.6,.586,5.1,6.1,.830,4.8,7.3,12.1,2.8,0.3,1.6,3.2,4.1,26.1,,118,121,baglema01
19,Amari Bailey,PG,19,CHO,2,0,11,8.8,26.5,.333,0.0,8.8,.000,8.8,17.7,.500,4.4,8.8,.500,8.8,0.0,8.8,0.0,0.0,0.0,4.4,0.0,22.1,,80,131,baileam01
20,Patrick Baldwin Jr.,SF,21,WAS,7,0,39,5.9,15.4,.385,3.5,5.9,.600,2.4,9.5,.250,4.7,4.7,1.000,2.4,9.5,11.8,3.5,0.0,1.2,1.2,4.7,20.1,,121,123,baldwpa01
21,LaMelo Ball,PG,22,CHO,15,15,501,12.8,28.9,.443,5.0,13.0,.388,7.8,15.9,.488,5.2,6.1,.857,2.2,5.7,7.9,11.9,2.0,0.4,5.7,5.0,35.9,,112,122,ballla01
22,Mo Bamba,C,25,PHI,15,0,91,10.6,19.6,.541,2.7,5.3,.500,8.0,14.3,.556,4.2,5.8,.727,9.0,9.5,18.6,2.1,0.5,5.3,3.7,6.9,28.1,,125,107,bambamo01
23,Paolo Banchero,PF,21,ORL,26,26,875,10.8,22.9,.471,1.8,4.9,.371,9.0,18.0,.498,6.1,9.0,.681,1.9,7.9,9.8,6.5,1.5,0.8,4.7,3.0,29.5,,106,111,banchpa01
24,Desmond Bane,SG,25,MEM,25,25,860,12.7,27.2,.465,4.7,12.4,.380,7.9,14.8,.536,4.3,5.1,.856,1.5,4.7,6.2,7.2,1.7,1.0,4.3,4.3,34.4,,111,114,banede01
25,Dalano Banton,PG,24,BOS,12,1,94,7.3,15.1,.483,0.5,4.2,.125,6.8,11.0,.619,2.6,3.1,.833,5.2,7.8,13.1,2.6,1.0,1.0,2.6,6.3,17.8,,113,112,bantoda01
26,Dominick Barlow,PF,20,SAS,8,0,45,3.1,9.4,.333,0.0,2.1,.000,3.1,7.3,.429,4.2,6.3,.667,0.0,8.3,8.3,0.0,1.0,0.0,0.0,4.2,10.4,,93,120,barlodo01
27,Harrison Barnes,PF,31,SAC,26,26,795,6.3,12.9,.486,2.8,6.9,.400,3.5,6.0,.586,2.8,3.4,.807,1.4,3.6,5.1,2.3,1.1,0.2,1.2,1.7,18.1,,124,120,barneha02
28,Scottie Barnes,SG,22,TOR,27,27,944,10.9,22.0,.493,2.7,7.2,.381,8.1,14.8,.547,4.3,5.8,.750,3.7,9.1,12.9,8.0,2.1,1.8,3.5,2.8,28.8,,119,111,barnesc01
29,RJ Barrett,SG,23,NYK,22,22,643,10.7,25.1,.426,2.8,8.3,.343,7.9,16.8,.468,7.1,8.2,.860,1.2,5.6,6.8,4.2,0.8,0.6,2.8,2.5,31.3,,113,118,barrerj01
