Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,24,TOR,21,0,387,6.7,14.0,.477,1.2,3.9,.310,5.5,10.1,.541,2.0,3.3,.583,4.3,7.3,11.6,3.9,1.2,0.8,2.5,3.4,16.6,achiupr01
2,Bam Adebayo,C,26,MIA,18,18,603,8.9,17.3,.514,0.1,0.2,.333,8.8,17.1,.516,5.8,7.2,.808,2.1,8.1,10.3,4.2,1.3,1.0,2.6,2.7,23.6,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,10,590,4.4,9.8,.450,2.1,5.6,.380,2.3,4.1,.544,0.4,0.5,.750,1.6,2.9,4.5,1.9,1.2,0.9,1.2,2.6,11.3,agbajoc01
4,Santi Aldama,PF,23,MEM,20,5,501,6.5,14.9,.438,2.4,7.2,.340,4.1,7.8,.528,1.6,2.5,.629,2.3,6.2,8.5,2.8,1.0,1.1,1.6,2.6,17.1,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,11,609,4.0,9.5,.416,2.2,6.1,.365,1.7,3.4,.509,0.7,1.0,.647,0.7,2.4,3.1,3.8,1.2,1.1,1.7,2.9,10.8,alexani01
6,Grayson Allen,SG,28,PHO,22,22,731,4.4,9.1,.486,2.4,5.3,.449,2.1,3.8,.538,2.0,2.3,.891,0.9,4.0,5.0,2.9,0.9,0.5,1.5,2.6,13.2,allengr01
7,Jarrett Allen,C,25,CLE,23,23,669,6.7,10.1,.668,0.0,0.0,,6.7,10.1,.668,2.6,3.9,.681,3.6,6.7,10.3,2.9,1.0,1.2,2.3,3.5,16.1,allenja01
8,Jose Alvarado,PG,25,NOP,14,0,236,5.2,12.7,.410,2.9,7.0,.413,2.3,5.6,.405,1.8,3.1,.600,1.1,4.4,5.5,4.4,2.4,0.8,2.1,3.1,15.1,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,0,598,4.1,9.0,.456,0.1,1.1,.105,4.0,7.8,.508,2.2,3.3,.685,1.1,4.3,5.4,6.3,1.3,1.3,2.3,2.3,10.5,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,26,903,11.8,19.4,.611,0.4,1.8,.222,11.4,17.6,.651,7.7,11.6,.662,2.8,8.7,11.5,5.6,1.5,1.2,3.9,2.9,31.7,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,0,55,2.6,5.9,.444,0.0,0.0,,2.6,5.9,.444,0.0,0.0,,2.0,2.0,3.9,3.3,1.3,0.7,3.3,4.6,5.2,antetth01
12,Cole Anthony,PG,23,ORL,26,0,653,7.2,15.6,.459,2.0,5.3,.375,5.2,10.3,.503,5.2,6.1,.847,1.5,4.5,6.0,5.2,1.0,0.7,2.7,4.2,21.5,anthoco01
13,OG Anunoby,SF,26,TOR,23,23,763,6.1,13.0,.469,2.5,6.8,.372,3.5,6.1,.577,1.3,1.8,.692,1.0,3.3,4.3,2.7,1.1,0.6,1.8,2.6,16.0,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,0,20,0.0,5.4,.000,0.0,5.4,.000,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,5.4,1.8,0.0,0.0,0.0,0.0,arcidry01
15,Deni Avdija,SF,23,WAS,26,26,699,6.0,12.0,.498,1.2,3.6,.343,4.7,8.4,.564,2.3,2.8,.815,1.4,5.9,7.4,5.2,1.0,0.4,2.0,3.0,15.5,avdijde01
16,Deandre Ayton,C,25,POR,22,22,696,6.6,11.8,.557,0.0,0.0,,6.6,11.8,.557,1.2,1.5,.828,3.7,8.5,12.2,1.8,1.3,0.8,2.3,2.8,14.4,aytonde01
17,Udoka Azubuike,C,24,PHO,2,0,9,4.0,4.0,1.000,0.0,0.0,,4.0,4.0,1.000,0.0,0.0,,0.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,8.0,azubuud01
18,Marvin Bagley III,C,24,DET,22,9,411,7.9,13.8,.573,0.1,0.4,.200,7.8,13.3,.586,3.9,4.6,.830,3.6,5.5,9.1,2.1,0.3,1.2,2.5,3.1,19.7,baglema01
19,Amari Bailey,PG,19,CHO,2,0,11,6.5,19.6,.333,0.0,6.5,.000,6.5,13.1,.500,3.3,6.5,.500,6.5,0.0,6.5,0.0,0.0,0.0,3.3,0.0,16.4,baileam01
20,Patrick Baldwin Jr.,SF,21,WAS,7,0,39,4.6,12.0,.385,2.8,4.6,.600,1.8,7.4,.250,3.7,3.7,1.000,1.8,7.4,9.2,2.8,0.0,0.9,0.9,3.7,15.7,baldwpa01
21,LaMelo Ball,PG,22,CHO,15,15,501,9.5,21.4,.443,3.7,9.6,.388,5.7,11.8,.488,3.9,4.5,.857,1.7,4.2,5.9,8.8,1.5,0.3,4.2,3.7,26.6,ballla01
