,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Precious Achiuwa,C,24,TOR,21,387,,,,3%,97%,-6.4,-6.3,12,7,22,4,15,0,100,2,11,achiupr01
2,Bam Adebayo,C,26,MIA,18,603,,,,,100%,-1.8,-4.9,16,9,22,11,58,3,173,12,12,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,590,,17%,73%,11%,,-8.7,-2.5,11,4,22,3,5,0,82,3,12,agbajoc01
4,Santi Aldama,PF,23,MEM,20,501,,,11%,80%,9%,-6.4,0.6,11,6,21,2,15,1,96,6,14,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,609,53%,47%,,,,5.0,-3.9,19,4,25,2,3,14,156,0,11,alexani01
6,Grayson Allen,SG,28,PHO,22,731,79%,21%,,,,-0.8,-3.4,17,9,25,3,21,7,139,5,9,allengr01
7,Jarrett Allen,C,25,CLE,23,669,,,,,100%,1.5,1.3,21,9,39,12,29,3,114,9,20,allenja01
8,Jose Alvarado,PG,25,NOP,14,236,100%,,,,,7.4,5.9,6,4,3,1,8,5,67,0,6,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,598,,,74%,26%,,3.2,-7.2,24,8,16,2,25,3,244,2,9,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,903,,,,59%,41%,8.2,7.8,30,24,25,20,137,4,367,37,31,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,55,,,24%,69%,7%,6.1,0.3,2,1,3,0,0,1,15,0,0,antetth01
12,Cole Anthony,PG,23,ORL,26,653,100%,,,,,-0.3,-6.6,26,13,39,3,43,6,228,9,13,anthoco01
13,OG Anunoby,SF,26,TOR,23,763,,2%,80%,15%,2%,1.4,8.2,15,10,21,9,19,2,138,6,17,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,20,,100%,,,,7.5,3.9,0,0,0,0,0,1,8,0,0,arcidry01
15,Deni Avdija,SF,23,WAS,26,699,,,57%,41%,2%,-9.9,-0.4,21,10,31,4,31,6,240,12,17,avdijde01
16,Deandre Ayton,C,25,POR,22,696,,,,,100%,-9.3,-6.0,11,19,37,8,14,2,84,1,15,aytonde01
17,Udoka Azubuike,C,24,PHO,2,9,,,,,100%,-36.1,-37.0,0,0,1,0,0,0,0,0,0,azubuud01
18,Marvin Bagley III,C,24,DET,22,411,,,,1%,99%,-8.6,4.2,9,5,18,10,27,6,57,6,14,baglema01
19,Amari Bailey,PG,19,CHO,2,11,100%,,,,,4.3,15.5,1,0,0,0,0,0,0,0,0,baileam01
20,Patrick Baldwin Jr.,SF,21,WAS,7,39,,,18%,42%,40%,-6.7,3.1,0,1,4,0,2,0,7,0,2,baldwpa01
21,LaMelo Ball,PG,22,CHO,15,501,63%,37%,,,,-8.7,3.9,29,13,20,6,23,2,270,6,12,ballla01
22,Mo Bamba,C,25,PHI,15,91,,,,,100%,11.4,0.5,1,0,5,4,6,0,11,2,4,bambamo01
23,Paolo Banchero,PF,21,ORL,26,875,,,,93%,7%,0.3,-9.0,44,29,29,8,84,0,284,16,27,banchpa01
24,Desmond Bane,SG,25,MEM,25,860,13%,60%,28%,,,-7.4,-2.0,31,20,32,16,36,8,314,8,38,banede01
25,Dalano Banton,PG,24,BOS,12,94,38%,48%,14%,,,-9.6,-20.3,2,1,7,2,3,0,12,2,1,bantoda01
26,Dominick Barlow,PF,20,SAS,8,45,,,7%,67%,27%,-10.2,1.3,0,0,3,0,3,0,0,0,1,barlodo01
27,Harrison Barnes,PF,31,SAC,26,795,,,14%,85%,1%,-1.1,-2.4,10,6,14,2,25,6,96,6,7,barneha02
28,Scottie Barnes,SG,22,TOR,27,944,,58%,38%,5%,,-2.5,-1.7,38,13,16,9,50,8,368,15,20,barnesc01
29,RJ Barrett,SG,23,NYK,22,643,,2%,97%,1%,,2.8,-1.8,17,13,19,1,55,3,135,7,36,barrerj01
30,Charles Bassey,C,23,SAS,19,205,,,,7%,93%,-10.5,1.1,10,2,20,2,3,0,52,2,1,bassech01
31,Emoni Bates,SF,20,CLE,7,52,,7%,90%,3%,,-54.2,-57.2,1,0,2,0,1,0,6,0,0,batesem01
32,Keita Bates-Diop,SF,28,PHO,22,387,,8%,64%,28%,,-4.4,-7.0,2,2,14,0,17,0,47,8,11,bateske01
33,Nicolas Batum,PF,35,TOT,20,478,,,,91%,9%,16.1,8.9,8,1,14,0,4,1,98,0,0,batumni01
33,Nicolas Batum,PF,35,LAC,3,54,,,,68%,32%,-1.9,-8.9,1,0,0,0,0,0,13,0,0,batumni01
33,Nicolas Batum,PF,35,PHI,17,424,,,,94%,6%,18.5,11.1,7,1,14,0,4,1,85,0,0,batumni01
34,Bradley Beal,SG,30,PHO,6,151,14%,69%,17%,,,-13.1,-15.6,9,1,7,1,10,0,45,1,6,bealbr01
35,Malik Beasley,SG,27,MIL,25,755,2%,93%,5%,,,8.6,6.8,10,4,24,0,5,3,91,2,8,beaslma01
36,MarJon Beauchamp,SF,23,MIL,23,375,,16%,81%,3%,,2.6,-4.4,6,8,18,1,9,1,43,1,7,beaucma01
37,Jules Bernard,SG,24,WAS,2,10,,100%,,,,-32.8,-23.3,1,0,1,0,0,1,2,0,1,bernaju01
38,Dāvis Bertāns,PF,31,OKC,9,71,,,14%,63%,22%,10.1,2.7,0,0,6,1,5,1,18,0,1,bertada01
39,Patrick Beverley,PG,35,PHI,27,465,100%,,,,,10.8,-0.2,12,2,18,0,9,4,150,4,3,beverpa01
40,Saddiq Bey,SF,24,ATL,27,855,,2%,66%,32%,,4.5,12.3,14,3,19,1,33,1,81,12,20,beysa01
41,Goga Bitadze,C,24,ORL,24,506,,,,,100%,9.6,11.1,7,3,21,7,20,1,97,5,10,bitadgo01
