,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,C,24,TOR,21,387,.477,9.4,,.722,.444,.225,.040,.013,.278,,.541,.642,.412,.167,.500,.310,,.644,1.000,,.139,18,,.357,.333,,0,0,achiupr01
2,Bam Adebayo,C,26,MIA,18,603,.514,9.0,,.990,.252,.266,.352,.121,.010,,.516,.740,.377,.480,.457,.333,,.561,1.000,,.141,33,,.000,,,0,0,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,590,.450,16.1,,.425,.206,.169,.031,.019,.575,,.544,.636,.481,.400,.333,.380,,.784,.971,,.069,9,,.402,.622,,0,0,agbajoc01
4,Santi Aldama,PF,23,MEM,20,501,.438,14.7,,.519,.197,.255,.048,.019,.481,,.528,.659,.434,.400,.750,.340,,.632,.912,,.063,12,,.340,.235,,0,0,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,609,.416,18.2,,.354,.149,.137,.025,.043,.646,,.509,.542,.364,.750,.714,.365,,.448,.974,,.031,5,,.442,.370,,1,0,alexani01
6,Grayson Allen,SG,28,PHO,22,731,.486,16.6,,.422,.243,.151,.022,.005,.578,,.538,.667,.393,.250,.000,.449,,.524,.896,,.038,7,,.215,.565,,0,0,allengr01
7,Jarrett Allen,C,25,CLE,23,669,.668,3.4,,1.000,.626,.294,.075,.005,.000,,.668,.718,.582,.571,1.000,,,.800,,,.278,45,,,,,0,0,allenja01
8,Jose Alvarado,PG,25,NOP,14,236,.410,16.7,,.446,.145,.241,.060,.000,.554,,.405,.500,.300,.600,,.413,,.467,.895,,.000,0,,.239,.364,,0,0,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,598,.456,9.0,,.872,.228,.463,.154,.027,.128,,.508,.588,.493,.391,.750,.105,,.515,1.000,,.020,3,,.421,.250,,1,0,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,903,.611,6.9,,.907,.506,.270,.060,.072,.093,,.651,.817,.496,.310,.343,.222,,.470,.500,,.173,81,,.000,,,0,0,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,55,.444,3.8,,1.000,.778,.111,.000,.111,.000,,.444,.429,1.000,,.000,,,.750,,,.333,2,,,,,0,0,antetth01
12,Cole Anthony,PG,23,ORL,26,653,.459,14.1,,.661,.205,.237,.124,.095,.339,,.503,.621,.552,.343,.333,.375,,.351,.861,,.014,4,,.156,.333,,0,0,anthoco01
13,OG Anunoby,SF,26,TOR,23,763,.469,15.4,,.473,.265,.116,.058,.033,.527,,.577,.740,.313,.375,.556,.372,,.720,.963,,.120,28,,.421,.426,,0,0,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,20,.000,26.4,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,arcidry01
