player_id,league_id,season,game_type,games_played,games_started,minutes,total_seconds,fgm,fga,fg_pct,2fgm,2fga,2fg_pct,3fgm,3fga,3fg_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,techs,plusminus,pts,pfd
2,NBA,2022,playoffs,16,,619.2483333,37154.9,147,295,0.498,119,189,0.62962963,28,106,0,70,92,0.761,25,133,158,104,40,17,18,8,28,,12,392,71
2,NBA,2022,regular,55,54,1953.94,117236.4,609,1219,0.5,488,842,0.579572447,121,377,0,251,327,0.768,65,392,457,375,178,50,32,47,88,0,214,1590,273
3,NBA,2022,regular,37,2,298.4983333,17909.9,48,75,0.64,46,71,0.647887324,2,4,0,14,18,0.778,23,28,51,19,25,2,8,7,43,0,-58,112,27
3,NBA,2022,playoffs,2,,6.05,363,3,3,1,3,3,1,0,0,0,2,2,1,1,0,1,0,1,0,0,0,2,,3,8,1
4,NBA,2022,regular,78,19,1709.57,102574.2,160,381,0.42,36,64,0.5625,124,317,0,34,48,0.708,62,237,299,121,50,54,44,5,149,0,165,478,41
4,NBA,2022,playoffs,5,,91.68333333,5501,8,19,0.421,2,2,1,6,17,0,0,0,0,1,10,11,6,2,2,2,1,10,,-28,22,1
5,NBA,2022,playoffs,1,,2.5,150,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,-7,0,0
5,NBA,2022,regular,27,0,337.865,20271.9,61,159,0.384,42,96,0.4375,19,63,0,11,12,0.917,8,32,40,46,22,7,5,13,18,0,-29,152,13
7,NBA,2022,playoffs,20,,343.0533333,20583.2,28,62,0.452,19,34,0.558823529,9,28,0,17,19,0.895,6,25,31,14,9,5,7,0,43,,-11,82,32
7,NBA,2022,regular,56,4,1091.116667,65467,160,328,0.488,130,224,0.580357143,30,104,0,87,117,0.744,38,106,144,69,46,18,17,17,99,0,-193,437,95
9,NBA,2022,regular,45,1,491.8166667,29509,69,160,0.431,14,19,0.736842105,55,141,0,13,15,0.867,10,43,53,21,10,11,8,3,53,0,-37,206,28
